lambda,b
320.187,698
320.3548279,650
320.5229492,716
320.69104,836
320.8591614,706
321.0272522,675
321.195343,869
321.3634338,804
321.5315247,726
321.699585,765
321.8676453,793
322.0357056,700
322.2037659,764
322.3718262,679
322.539856,750
322.7079163,786
322.875946,588
323.0439758,786
323.2119751,805
323.3800049,609
323.5480042,665
323.7160339,780
323.8840027,711
324.052002,774
324.2200012,696
324.38797,770
324.5559387,784
324.7239075,727
324.8918762,753
325.059845,782
325.2277832,669
325.395752,780
325.5636902,885
325.7315979,786
325.8995361,741
326.0674744,794
326.2353821,774
326.4032898,678
326.5711975,739
326.7391052,828
326.9069824,615
327.0748596,781
327.2427673,803
327.410614,721
327.5784912,526
327.7463684,719
327.9142151,856
328.0820618,673
328.2499084,730
328.4177551,695
328.5856018,823
328.753418,782
328.9212341,818
329.0890503,881
329.2568665,787
329.4246826,995
329.5924683,709
329.7602539,803
329.9280396,648
330.0958252,663
330.2636108,813
330.431366,670
330.5991516,781
330.7669067,830
330.9346313,695
331.1023865,730
331.2701416,735
331.4378662,872
331.6055908,741
331.7733154,691
331.94104,653
332.1087341,667
332.2764587,650
332.4441528,788
332.6118469,813
332.7795105,1026
332.9472046,765
333.1148682,757
333.2825317,848
333.4501953,720
333.6178589,779
333.7855225,670
333.9531555,758
334.1207886,750
334.2884216,754
334.4560547,591
334.6236877,645
334.7912903,699
334.9588928,737
335.1264954,675
335.2940979,915
335.4617004,644
335.6292725,801
335.796875,746
335.964447,753
336.1319885,677
336.2995605,698
336.4671326,724
336.6346741,741
336.8022156,856
336.9697571,730
337.1372986,849
337.3048096,746
337.4723206,722
337.6398315,742
337.8073425,689
337.9748535,816
338.1423645,645
338.309845,707
338.4773254,629
338.6448059,638
338.8122864,734
338.9797363,660
339.1471863,617
339.3146667,882
339.4821167,637
339.6495361,601
339.8169861,792
339.9844055,760
340.151825,621
340.3192444,668
340.4866638,662
340.6540833,690
340.8214722,544
340.9888611,690
341.15625,836
341.3236389,691
341.4910278,779
341.6583862,638
341.8257446,759
341.993103,826
342.1604614,605
342.3278198,651
342.4951477,729
342.6624756,681
342.8298035,795
342.9971313,720
343.1644592,769
343.3317566,1000
343.499054,862
343.6663513,653
343.8336487,712
344.000946,836
344.1682129,778
344.3355103,663
344.5027771,772
344.6700439,744
344.8372803,786
345.0045471,743
345.1717834,813
345.3390198,706
345.5062561,748
345.6734924,665
345.8406982,779
346.0079041,696
346.1751099,619
346.3423157,780
346.5095215,668
346.6766968,593
346.8439026,800
347.0110779,763
347.1782532,722
347.3453979,676
347.5125732,588
347.679718,790
347.8468628,775
348.0140076,579
348.1811523,708
348.3482666,678
348.5154114,689
348.6825256,735
348.8496399,649
349.0167236,780
349.1838379,711
349.3509216,732
349.5180054,845
349.6850891,736
349.8521729,862
350.0192261,691
350.1863098,656
350.353363,802
350.5204163,608
350.6874695,603
350.8544922,711
351.0215149,836
351.1885376,695
351.3555603,784
351.522583,751
351.6896057,691
351.8565979,838
352.0235901,661
352.1905823,722
352.3575745,859
352.5245361,915
352.6915283,873
352.85849,884
353.0254517,717
353.1923828,777
353.3593445,707
353.5262756,570
353.6932068,710
353.8601379,624
354.0270691,636
354.1940002,707
354.3609009,699
354.5278015,773
354.6947021,700
354.8616028,716
355.0284729,719
355.1953735,811
355.3622437,796
355.5291138,814
355.6959839,698
355.8628235,597
356.0296631,821
356.1965332,690
356.3633423,783
356.5301819,743
356.6970215,686
356.8638306,828
357.0306396,807
357.1974487,759
357.3642578,675
357.5310364,719
357.6978455,682
357.864624,649
358.0314026,859
358.1981506,657
358.3649292,807
358.5316772,603
358.6984253,794
358.8651733,687
359.0319214,760
359.1986694,729
359.365387,789
359.5321045,713
359.698822,887
359.8655396,736
360.0322266,674
360.1989441,818
360.3656311,632
360.5323181,623
360.6989746,784
360.8656616,921
361.0323181,835
361.1989746,820
361.3656311,825
361.5322876,914
361.6989136,616
361.8655701,647
362.032196,618
362.198822,728
362.3654175,619
362.5320435,664
362.6986389,639
