lambda,g
320.187,713
320.3548279,610
320.5229492,645
320.69104,749
320.8591614,702
321.0272522,686
321.195343,863
321.3634338,756
321.5315247,722
321.699585,773
321.8676453,825
322.0357056,743
322.2037659,718
322.3718262,763
322.539856,690
322.7079163,726
322.875946,647
323.0439758,781
323.2119751,821
323.3800049,683
323.5480042,669
323.7160339,713
323.8840027,626
324.052002,788
324.2200012,681
324.38797,764
324.5559387,804
324.7239075,763
324.8918762,790
325.059845,850
325.2277832,744
325.395752,814
325.5636902,845
325.7315979,829
325.8995361,795
326.0674744,710
326.2353821,757
326.4032898,724
326.5711975,780
326.7391052,863
326.9069824,643
327.0748596,784
327.2427673,880
327.410614,752
327.5784912,673
327.7463684,781
327.9142151,816
328.0820618,710
328.2499084,800
328.4177551,690
328.5856018,814
328.753418,750
328.9212341,843
329.0890503,872
329.2568665,787
329.4246826,981
329.5924683,657
329.7602539,815
329.9280396,608
330.0958252,659
330.2636108,850
330.431366,658
330.5991516,807
330.7669067,780
330.9346313,747
331.1023865,735
331.2701416,809
331.4378662,897
331.6055908,696
331.7733154,751
331.94104,661
332.1087341,706
332.2764587,628
332.4441528,810
332.6118469,841
332.7795105,982
332.9472046,789
333.1148682,698
333.2825317,821
333.4501953,804
333.6178589,873
333.7855225,754
333.9531555,801
334.1207886,738
334.2884216,660
334.4560547,618
334.6236877,697
334.7912903,664
334.9588928,681
335.1264954,698
335.2940979,867
335.4617004,718
335.6292725,824
335.796875,802
335.964447,651
336.1319885,755
336.2995605,755
336.4671326,758
336.6346741,783
336.8022156,867
336.9697571,719
337.1372986,741
337.3048096,751
337.4723206,779
337.6398315,713
337.8073425,683
337.9748535,782
338.1423645,731
338.309845,763
338.4773254,664
338.6448059,631
338.8122864,695
338.9797363,611
339.1471863,675
339.3146667,806
339.4821167,645
339.6495361,709
339.8169861,819
339.9844055,781
340.151825,653
340.3192444,592
340.4866638,672
340.6540833,645
340.8214722,606
340.9888611,720
341.15625,768
341.3236389,712
341.4910278,812
341.6583862,733
341.8257446,714
341.993103,736
342.1604614,662
342.3278198,660
342.4951477,780
342.6624756,755
342.8298035,840
342.9971313,713
343.1644592,762
343.3317566,890
343.499054,733
343.6663513,648
343.8336487,728
344.000946,831
344.1682129,661
344.3355103,652
344.5027771,726
344.6700439,740
344.8372803,821
345.0045471,826
345.1717834,784
345.3390198,701
345.5062561,738
345.6734924,712
345.8406982,879
346.0079041,682
346.1751099,632
346.3423157,693
346.5095215,684
346.6766968,681
346.8439026,733
347.0110779,830
347.1782532,732
347.3453979,786
347.5125732,582
347.679718,834
347.8468628,793
348.0140076,656
348.1811523,769
348.3482666,709
348.5154114,749
348.6825256,708
348.8496399,780
349.0167236,724
349.1838379,732
349.3509216,756
349.5180054,750
349.6850891,716
349.8521729,916
350.0192261,666
350.1863098,666
350.353363,797
350.5204163,696
350.6874695,666
350.8544922,657
351.0215149,911
351.1885376,764
351.3555603,742
351.522583,715
351.6896057,658
351.8565979,855
352.0235901,700
352.1905823,681
352.3575745,937
352.5245361,949
352.6915283,913
352.85849,904
353.0254517,672
353.1923828,694
353.3593445,692
353.5262756,556
353.6932068,744
353.8601379,638
354.0270691,705
354.1940002,698
354.3609009,656
354.5278015,748
354.6947021,739
354.8616028,710
355.0284729,779
355.1953735,928
355.3622437,750
355.5291138,825
355.6959839,719
355.8628235,799
356.0296631,818
356.1965332,717
356.3633423,660
356.5301819,797
356.6970215,729
356.8638306,879
357.0306396,844
357.1974487,716
357.3642578,718
357.5310364,734
357.6978455,733
357.864624,618
358.0314026,906
358.1981506,621
358.3649292,849
358.5316772,626
358.6984253,915
358.8651733,799
359.0319214,852
359.1986694,734
359.365387,759
359.5321045,733
359.698822,927
359.8655396,794
360.0322266,671
360.1989441,827
360.3656311,624
360.5323181,591
360.6989746,801
360.8656616,885
361.0323181,813
361.1989746,878
361.3656311,841
361.5322876,936
361.6989136,692
361.8655701,700
362.032196,643
362.198822,708
362.3654175,654
362.5320435,614
362.6986389,606
362.8652344,821
363.0318298,816
363.1984253,757
363.3649902,717
363.5315552,717
363.6981201,698
363.8646851,840
364.03125,766
364.1977844,700
364.3643494,682
364.5308838,801
364.6974182,850
364.8639221,791
365.0304565,656
365.1969604,673
365.3634644,646
365.5299683,693
365.6964722,687
365.8629456,724
366.0294189,814
366.1958923,617
366.3623657,594
366.5288391,743
366.695282,598
366.8617249,695
367.0281677,780
367.1946106,801
367.3610535,759
367.5274658,597
367.6938782,847
367.8602905,754
368.0267029,730
368.1931152,871
368.3594971,810
368.5258789,773
