lambda;rgb
320.1867065;724
320.3548279;730
320.5229492;732
320.69104;839
320.8591614;883
321.0272522;698
321.195343;889
321.3634338;752
321.5315247;767
321.699585;863
321.8676453;787
322.0357056;716
322.2037659;798
322.3718262;763
322.539856;793
322.7079163;775
322.875946;722
323.0439758;867
323.2119751;859
323.3800049;732
323.5480042;631
323.7160339;859
323.8840027;781
324.052002;849
324.2200012;730
324.38797;779
324.5559387;885
324.7239075;814
324.8918762;886
325.059845;827
325.2277832;821
325.395752;786
325.5636902;895
325.7315979;855
325.8995361;737
326.0674744;884
326.2353821;805
326.4032898;749
326.5711975;785
326.7391052;934
326.9069824;720
327.0748596;818
327.2427673;908
327.410614;828
327.5784912;733
327.7463684;782
327.9142151;821
328.0820618;622
328.2499084;772
328.4177551;764
328.5856018;813
328.753418;890
328.9212341;911
329.0890503;916
329.2568665;800
329.4246826;1042
329.5924683;675
329.7602539;871
329.9280396;686
330.0958252;764
330.2636108;837
330.431366;755
330.5991516;821
330.7669067;823
330.9346313;758
331.1023865;752
331.2701416;819
331.4378662;934
331.6055908;781
331.7733154;675
331.94104;730
332.1087341;741
332.2764587;663
332.4441528;874
332.6118469;879
332.7795105;1057
332.9472046;834
333.1148682;817
333.2825317;919
333.4501953;823
333.6178589;912
333.7855225;775
333.9531555;814
334.1207886;801
334.2884216;773
334.4560547;634
334.6236877;745
334.7912903;625
334.9588928;816
335.1264954;724
335.2940979;969
335.4617004;748
335.6292725;840
335.796875;840
335.964447;816
336.1319885;760
336.2995605;870
336.4671326;818
336.6346741;836
336.8022156;902
336.9697571;782
337.1372986;909
337.3048096;829
337.4723206;760
337.6398315;789
337.8073425;709
337.9748535;830
338.1423645;792
338.309845;856
338.4773254;680
338.6448059;662
338.8122864;809
338.9797363;684
339.1471863;740
339.3146667;856
339.4821167;653
339.6495361;756
339.8169861;876
339.9844055;842
340.151825;658
340.3192444;680
340.4866638;792
340.6540833;712
340.8214722;649
340.9888611;719
341.15625;806
341.3236389;860
341.4910278;820
341.6583862;750
341.8257446;725
341.993103;773
342.1604614;702
342.3278198;690
342.4951477;801
342.6624756;832
342.8298035;898
342.9971313;761
343.1644592;837
343.3317566;964
343.499054;868
343.6663513;711
343.8336487;774
344.000946;964
344.1682129;746
344.3355103;726
344.5027771;757
344.6700439;851
344.8372803;842
345.0045471;869
345.1717834;919
345.3390198;756
345.5062561;781
345.6734924;805
345.8406982;824
346.0079041;719
346.1751099;620
346.3423157;730
346.5095215;732
346.6766968;712
346.8439026;769
347.0110779;798
347.1782532;853
347.3453979;806
347.5125732;682
347.679718;836
347.8468628;761
348.0140076;596
348.1811523;809
348.3482666;785
348.5154114;840
348.6825256;720
348.8496399;868
349.0167236;882
349.1838379;760
349.3509216;878
349.5180054;952
349.6850891;710
349.8521729;881
350.0192261;778
350.1863098;703
350.353363;820
350.5204163;627
350.6874695;666
350.8544922;705
351.0215149;911
351.1885376;796
351.3555603;889
351.522583;863
351.6896057;798
351.8565979;937
352.0235901;740
352.1905823;684
352.3575745;1033
352.5245361;989
352.6915283;930
352.85849;960
353.0254517;762
353.1923828;830
353.3593445;698
353.5262756;539
353.6932068;722
353.8601379;721
354.0270691;809
354.1940002;765
354.3609009;701
354.5278015;773
354.6947021;796
354.8616028;766
355.0284729;740
355.1953735;864
355.3622437;814
355.5291138;884
355.6959839;799
355.8628235;718
356.0296631;804
356.1965332;813
356.3633423;814
356.5301819;829
356.6970215;755
356.8638306;916
357.0306396;854
357.1974487;697
357.3642578;708
357.5310364;803
357.6978455;746
357.864624;583
358.0314026;972
358.1981506;676
358.3649292;905
358.5316772;583
358.6984253;865
358.8651733;688
359.0319214;772
359.1986694;820
359.365387;795
359.5321045;792
359.698822;984
